Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
130,61,0,73,9,-69,52,0,9,4
132,69,0,73,5,-68,59,0,9,4
129,75,0,73,10,-59,68,0,9,4
130,81,0,74,26,-56,75,0,9,4
132,78,0,76,26,-54,81,0,9,4
136,53,0,74,9,-62,77,0,9,4
134,53,0,74,33,-75,48,0,9,4
134,61,0,73,39,-75,48,0,9,4
135,57,0,75,22,-72,57,0,9,4
135,58,0,73,5,-74,53,0,9,4
132,64,0,74,7,-70,54,0,9,4
134,59,0,74,5,-69,61,0,9,4
135,64,0,73,2,-73,55,0,9,4
133,68,0,75,9,-67,63,0,9,4
132,65,0,74,7,-64,66,0,9,4
134,74,0,74,9,-68,63,0,9,4
135,61,0,73,10,-63,73,0,9,4
138,57,0,74,15,-76,56,0,9,4
136,60,0,74,14,-76,51,0,9,4
135,59,0,73,20,-73,55,0,9,4
136,67,0,73,3,-75,53,0,9,4
140,58,0,74,12,-75,63,0,9,4
137,58,0,74,5,-77,51,0,9,4
138,57,0,73,3,-78,51,0,9,4
137,59,0,74,12,-77,51,0,9,4
137,56,0,74,2,-76,53,0,9,4
138,59,0,74,2,-79,49,0,9,4
134,67,0,74,6,-72,55,0,9,4
136,69,0,74,12,-70,64,0,9,4
136,55,0,74,21,-68,67,0,9,4
134,68,0,74,5,-74,50,0,9,4
136,64,0,74,1,-69,65,0,9,4
137,65,1,73,8,-73,60,0,9,4
136,68,0,75,12,-71,62,0,9,4
139,59,1,74,4,-73,64,0,9,4
136,63,0,73,7,-75,53,0,9,4
135,60,1,74,3,-71,59,0,9,4
135,61,0,74,9,-73,55,0,9,4
135,72,0,73,5,-72,57,0,9,4
134,58,0,74,15,-63,72,0,9,4
134,62,0,74,1,-72,55,0,9,4
134,63,1,75,2,-70,59,0,9,4
133,56,0,74,12,-68,61,0,9,4
134,56,0,73,5,-74,50,0,9,4
132,60,0,74,7,-71,52,0,9,4
134,65,0,74,5,-71,57,0,9,4
142,63,0,74,10,-79,59,0,9,4
134,76,0,74,9,-69,61,0,9,4
139,66,0,74,18,-67,75,0,9,4
131,57,0,73,15,-64,64,0,9,4
129,64,1,73,5,-66,56,0,9,4
130,65,0,75,13,-64,62,0,9,4
129,54,1,74,2,-62,64,0,9,4
129,67,0,73,4,-68,52,0,9,4
132,54,0,73,4,-64,66,0,9,4
133,53,0,73,17,-73,50,0,9,4
133,81,0,74,7,-74,48,0,9,4
131,82,0,73,17,-53,80,0,9,4
133,80,0,74,37,-54,82,0,9,4
134,77,0,73,36,-57,80,0,9,4
137,56,0,75,12,-64,75,0,9,4
135,66,0,75,38,-75,50,0,9,4
136,61,0,75,20,-70,64,0,9,4
137,60,0,74,21,-75,56,0,9,4
130,64,0,73,12,-66,58,0,9,4
135,53,0,74,3,-70,61,0,9,4
135,54,0,74,11,-77,45,0,9,4
129,58,0,75,6,-68,52,0,9,4
130,56,0,75,5,-67,56,0,9,4
129,60,0,75,13,-67,54,0,9,4
129,59,0,74,6,-65,58,0,9,4
129,59,0,75,2,-65,58,0,9,4
128,63,0,75,5,-64,58,0,9,4
128,53,0,74,4,-62,61,0,9,4
131,51,0,74,10,-71,50,0,9,4
129,53,0,75,12,-70,47,0,9,4
128,51,0,74,11,-67,51,0,9,4
134,59,0,75,7,-76,45,0,9,4
134,55,0,75,8,-72,55,0,9,4
134,60,0,74,7,-74,50,0,9,4
135,56,1,74,10,-73,55,0,9,4
135,58,1,74,5,-75,50,0,9,4
132,55,1,75,5,-70,54,0,9,4
135,56,1,74,7,-76,48,0,9,4
133,54,1,74,3,-72,52,0,9,4
