Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
32,71,0,63,8,18,0,0,9,4
31,73,0,63,7,20,7,0,9,4
30,72,0,63,3,22,10,0,9,4
30,68,0,62,7,21,7,0,9,4
32,70,0,62,7,18,0,0,9,4
29,73,0,62,3,20,7,0,9,4
30,73,0,62,3,22,10,0,9,4
29,74,0,63,8,22,7,0,9,5
33,77,0,62,8,21,15,0,9,2
33,73,0,62,10,24,20,0,9,4
31,73,0,62,3,21,10,0,9,4
27,74,0,62,15,23,0,0,9,4
33,67,0,62,5,21,15,0,9,4
33,66,0,61,10,17,0,0,9,4
31,64,0,63,14,16,13,0,9,4
30,71,0,63,6,15,18,0,9,4
32,68,0,62,11,20,11,0,9,4
33,72,0,62,13,17,0,0,9,4
30,71,0,60,12,21,7,0,9,4
32,75,0,62,0,20,11,0,9,4
29,66,0,60,11,23,10,0,9,4
30,69,0,63,7,17,13,0,9,4
30,71,0,62,4,19,7,0,9,4
30,66,0,60,10,20,0,0,9,4
31,71,0,62,1,16,13,0,9,4
31,73,0,62,1,20,7,0,9,4
33,69,0,63,15,21,15,0,9,4
30,67,0,61,6,19,7,0,9,4
31,66,0,61,5,17,11,0,9,4
31,66,0,62,5,16,13,0,9,4
33,65,0,62,3,16,8,0,9,4
34,65,0,62,3,15,8,0,9,4
31,73,0,64,0,16,13,0,9,4
31,68,0,61,5,21,10,0,9,4
29,67,0,62,5,18,13,0,9,4
30,73,0,62,1,17,13,0,9,4
30,70,0,62,1,22,10,0,9,4
34,68,0,63,2,18,11,0,9,4
29,70,0,63,1,18,13,0,9,4
30,67,0,60,10,20,0,0,9,4
30,63,0,62,2,17,13,0,9,4
33,65,0,62,4,14,14,0,9,4
31,68,0,62,13,16,13,0,9,4
34,63,0,62,5,17,8,0,9,4
33,71,0,64,0,14,14,0,9,4
31,68,0,62,7,20,7,0,9,4
30,68,0,62,3,18,11,0,9,4
31,68,0,63,8,18,7,0,9,4
33,64,0,60,7,17,0,0,9,5
30,66,0,62,7,15,18,0,9,2
30,69,0,62,6,17,13,0,9,4
32,67,0,62,1,18,0,0,9,4
30,66,0,62,5,17,13,0,9,4
31,65,0,62,1,16,13,0,9,4
31,68,0,63,13,16,13,0,9,4
30,68,0,62,2,18,11,0,9,4
30,66,0,62,2,18,11,0,9,4
30,67,0,62,1,17,13,0,9,4
31,68,0,62,1,17,11,0,9,4
30,71,0,62,0,18,11,0,9,4
32,69,0,62,3,20,11,0,9,4
33,72,0,62,3,18,8,0,9,4
32,71,0,62,2,20,11,0,9,4
30,71,0,62,11,20,0,0,9,4
29,71,0,62,8,21,0,0,9,4
30,70,0,61,11,20,0,0,9,4
31,70,0,63,1,19,0,0,9,4
32,66,0,60,7,19,7,0,9,4
30,70,0,62,13,17,13,0,9,4
30,68,0,63,1,20,0,0,9,4
30,72,0,62,4,18,11,0,9,4
32,70,0,62,3,20,11,0,9,4
30,71,0,63,0,20,0,0,9,4
30,71,0,62,11,20,0,0,9,4
30,68,0,60,11,20,0,0,9,4
30,69,0,61,11,18,11,0,9,4
31,70,0,60,1,19,0,0,9,4
33,69,0,62,11,19,11,0,9,4
29,68,0,62,1,19,10,0,9,4
29,68,0,62,13,18,13,0,9,4
30,69,0,61,1,18,11,0,9,4
30,66,0,62,3,19,7,0,9,4
29,63,0,62,2,17,15,0,9,4
32,70,0,62,6,14,16,0,9,4
30,70,0,62,7,20,0,0,9,4
30,66,0,63,15,20,0,0,9,4
30,66,0,63,4,17,13,0,9,4
29,73,0,63,15,17,15,0,9,4
