Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
34,38,0,68,5,1,35,0,9,4
31,40,0,68,3,2,36,0,9,4
33,40,0,69,2,2,34,0,9,4
32,37,0,68,1,2,35,0,9,4
32,39,0,69,1,1,37,0,9,4
32,37,0,68,1,2,35,0,9,4
32,41,0,68,2,1,37,0,9,4
32,38,0,69,3,3,34,0,9,4
32,41,0,69,0,2,35,0,9,4
31,36,0,69,2,3,35,0,9,4
31,38,0,69,3,1,37,0,9,4
31,38,0,69,1,2,36,0,9,4
32,39,0,69,1,2,35,0,9,4
33,43,0,69,3,2,34,0,9,4
30,39,0,69,2,4,34,0,9,4
33,43,0,68,1,2,34,0,9,4
34,39,0,68,2,3,32,0,9,4
32,40,0,69,2,2,35,0,9,4
31,38,0,69,1,3,35,0,9,4
32,42,0,69,3,2,35,0,9,4
31,43,0,69,2,4,33,0,9,4
34,44,0,69,3,3,32,0,9,4
32,38,0,69,2,4,33,0,9,4
34,38,0,69,3,1,35,0,9,4
32,40,0,68,3,2,35,0,9,4
33,42,0,69,2,2,34,0,9,4
32,40,0,68,2,3,34,0,9,4
32,41,0,69,0,2,35,0,9,4
32,39,0,69,1,3,34,0,9,4
33,39,0,68,1,2,34,0,9,4
33,42,0,68,1,2,34,0,9,4
33,39,0,69,1,3,33,0,9,4
33,38,0,69,0,2,34,0,9,4
31,42,0,69,2,2,36,0,9,4
33,37,0,69,0,3,33,0,9,4
31,44,0,69,2,2,36,0,9,4
32,41,0,69,3,4,33,0,9,4
32,38,0,69,1,3,34,0,9,4
31,42,0,69,0,2,36,0,9,4
30,40,0,68,1,4,34,0,9,4
32,38,0,69,1,2,35,0,9,4
32,38,0,69,1,2,35,0,9,4
34,40,0,69,3,1,35,0,9,4
32,37,0,69,0,2,35,0,9,4
31,43,0,69,1,2,36,0,9,4
33,36,0,68,2,3,33,0,9,4
31,41,0,68,2,1,37,0,9,4
31,42,0,69,1,3,35,0,9,4
31,37,0,68,1,4,33,0,9,4
32,39,0,69,0,1,37,0,9,4
31,42,0,69,1,2,36,0,9,4
32,38,0,69,1,3,34,0,9,4
32,38,0,69,2,2,35,0,9,4
33,42,0,68,1,1,36,0,9,4
32,40,0,69,0,3,34,0,9,4
33,37,0,69,1,2,34,0,9,4
32,38,0,68,1,1,37,0,9,4
31,40,0,69,2,2,36,0,9,4
32,38,0,69,1,2,35,0,9,4
33,43,0,69,1,1,36,0,9,4
31,41,0,69,2,4,33,0,9,4
32,38,0,69,2,3,34,0,9,4
30,40,0,68,4,2,37,0,9,4
32,40,0,69,2,2,35,0,9,4
32,42,0,68,1,2,35,0,9,4
32,38,0,68,3,3,34,0,9,4
30,39,0,68,2,2,37,0,9,4
32,39,0,69,1,2,35,0,9,4
33,38,0,69,3,2,34,0,9,4
30,38,0,69,2,2,37,0,9,4
32,42,0,69,0,2,35,0,9,4
32,38,0,68,1,3,34,0,9,4
32,38,0,69,2,2,35,0,9,4
33,41,0,68,1,1,36,0,9,4
31,39,0,69,1,3,35,0,9,4
31,38,0,68,1,2,36,0,9,4
30,44,0,69,1,2,37,0,9,4
31,43,0,69,2,4,33,0,9,4
32,40,0,69,3,4,33,0,9,4
34,40,0,69,4,2,33,0,9,4
31,41,0,69,2,3,35,0,9,4
30,39,0,68,3,3,36,0,9,4
31,41,0,70,3,2,36,0,9,4
31,42,0,70,0,3,35,0,9,4
33,41,0,69,3,3,33,0,9,4
31,41,0,69,1,3,35,0,9,4
32,41,0,69,1,3,34,0,9,4
33,38,0,69,1,2,34,0,9,4
32,44,0,69,1,2,35,0,9,4
32,45,0,69,1,4,33,0,9,4
31,43,0,68,3,5,32,0,9,4
30,39,0,68,2,4,34,0,9,4
31,43,0,68,3,2,36,0,9,4
30,39,0,69,2,4,34,0,9,4
31,40,0,68,2,2,36,0,9,4
31,38,0,69,1,3,35,0,9,4
31,40,0,69,0,2,36,0,9,4
31,39,0,68,1,3,35,0,9,4
30,43,0,69,1,3,36,0,9,4
30,38,0,68,2,4,34,0,9,4
31,44,0,69,1,2,36,0,9,4
32,39,0,68,3,4,33,0,9,4
31,44,0,68,2,2,36,0,9,4
31,41,0,69,3,4,33,0,9,4
30,44,0,69,3,3,36,0,9,4
32,39,0,69,3,4,33,0,9,4
30,45,0,69,3,3,36,0,9,4
30,42,0,68,3,5,33,0,9,4
31,40,0,68,0,4,33,0,9,4
31,38,0,68,2,3,35,0,9,4
31,45,0,68,3,2,36,0,9,4
33,41,0,69,3,4,32,0,9,4
32,39,0,68,1,3,34,0,9,4
32,45,0,68,1,2,35,0,9,4
33,38,0,69,0,4,32,0,9,4
31,38,0,68,1,2,36,0,9,4
32,41,0,68,3,2,35,0,9,4
32,43,0,69,2,3,34,0,9,4
30,39,0,69,2,4,34,0,9,4
32,39,0,68,0,2,35,0,9,4
32,42,0,68,1,2,35,0,9,4
31,42,0,69,1,4,33,0,9,4
32,39,0,69,1,3,34,0,9,4
31,43,0,68,1,2,36,0,9,4
32,44,0,68,0,4,33,0,9,4
30,40,0,69,2,5,33,0,9,4
31,43,0,69,1,3,35,0,9,4
30,39,0,68,1,4,34,0,9,4
32,38,0,69,3,2,35,0,9,4
30,40,0,68,2,2,37,0,9,4
31,44,0,68,1,3,35,0,9,4
33,43,0,68,3,4,32,0,9,4
33,45,0,68,4,3,33,0,9,4
31,44,0,67,3,5,32,0,9,4
33,39,0,68,0,4,32,0,9,4
32,41,0,67,2,2,35,0,9,4
32,44,0,68,2,3,34,0,9,4
32,41,0,68,1,4,33,0,9,4
34,45,0,68,2,2,33,0,9,4
31,39,0,69,1,5,32,0,9,4
34,44,0,69,2,1,35,0,9,4
33,41,0,68,1,4,32,0,9,4
33,42,0,68,3,2,34,0,9,4
31,47,0,68,3,4,33,0,9,4
32,45,0,68,1,5,31,0,9,4
32,40,0,68,4,5,31,0,9,4
32,38,0,68,2,2,35,0,9,4
31,42,0,68,5,2,36,0,9,4
32,40,0,69,3,3,34,0,9,4
30,41,0,69,1,3,36,0,9,4
31,38,0,68,1,3,35,0,9,4
30,42,0,69,3,2,37,0,9,4
32,43,0,69,2,3,34,0,9,4
33,39,0,69,2,3,33,0,9,4
33,41,0,68,3,2,34,0,9,4
30,45,0,67,2,3,36,0,9,4
32,42,0,68,2,5,31,0,9,4
31,42,0,68,2,4,33,0,9,4
31,43,0,69,3,4,33,0,9,4
33,43,0,69,2,3,33,0,9,4
32,44,0,68,0,4,33,0,9,4
33,41,0,69,1,4,32,0,9,4
33,41,0,69,2,2,34,0,9,4
32,43,0,68,1,3,34,0,9,4
34,44,0,68,1,3,32,0,9,4
33,44,0,68,2,4,32,0,9,4
30,43,0,69,2,5,33,0,9,4
30,44,0,69,2,4,34,0,9,4
30,43,0,69,1,5,33,0,9,4
32,43,0,69,1,4,33,0,9,4
29,45,0,69,1,5,34,0,9,4
30,42,0,69,0,5,33,0,9,4
31,43,0,69,0,4,33,0,9,4
35,47,0,69,3,3,31,0,9,4
30,42,0,68,1,6,32,0,9,4
30,43,0,70,1,4,34,0,9,4
32,43,0,68,2,4,33,0,9,4
30,41,0,68,2,4,34,0,9,4
31,46,0,69,1,3,35,0,9,4
31,41,0,69,1,5,32,0,9,4
30,43,0,69,2,3,36,0,9,4
31,44,0,68,2,4,33,0,9,4
32,41,0,68,1,4,33,0,9,4
32,38,0,68,2,3,34,0,9,4
32,41,0,69,2,2,35,0,9,4
33,45,0,68,2,2,34,0,9,4
32,44,0,69,3,5,31,0,9,4
33,44,0,69,3,4,32,0,9,4
34,41,0,68,2,3,32,0,9,4
32,44,0,69,3,3,34,0,9,4
32,40,0,69,1,4,33,0,9,4
33,39,0,68,2,2,34,0,9,4
32,42,0,69,1,2,35,0,9,4
31,45,0,68,0,4,33,0,9,4
32,45,0,69,4,5,31,0,9,4
33,41,0,68,3,4,32,0,9,4
33,40,0,69,2,2,34,0,9,4
34,42,0,68,3,2,33,0,9,4
31,39,0,68,1,4,33,0,9,4
32,38,0,68,1,2,35,0,9,4
32,39,0,68,2,2,35,0,9,4
31,39,0,69,3,2,36,0,9,4
32,41,0,69,0,2,35,0,9,4
32,40,0,69,1,3,34,0,9,4
30,38,0,68,1,3,36,0,9,4
31,39,0,68,1,2,36,0,9,4
32,42,0,69,1,2,35,0,9,4
30,42,0,68,2,4,34,0,9,4
30,39,0,68,2,4,34,0,9,4
29,39,0,69,1,3,36,0,9,4
32,39,0,69,2,2,35,0,9,4
32,45,0,69,2,2,35,0,9,4
32,42,0,69,5,5,31,0,9,4
32,41,0,69,1,3,34,0,9,4
30,38,0,68,1,3,36,0,9,4
36,41,0,67,5,0,34,0,9,4
33,41,0,67,1,2,34,0,9,4
33,41,0,67,2,2,34,0,9,4
43,40,0,66,9,0,25,0,9,4
30,35,0,68,2,3,36,0,9,4
32,34,0,68,3,1,37,0,9,4
30,52,0,67,13,1,38,0,9,4
32,54,0,67,10,8,27,0,9,4
31,53,0,68,13,9,26,0,9,4
30,55,0,68,13,9,27,0,9,4
30,54,0,69,2,10,26,0,9,4
31,53,0,69,0,9,26,0,9,4
30,54,0,69,0,9,27,0,9,4
30,53,0,69,0,10,26,0,9,4
30,51,0,69,1,9,27,0,9,4
30,52,0,70,2,8,29,0,9,4
29,52,0,70,2,9,28,0,9,4
30,54,0,70,0,9,27,0,9,4
30,51,0,69,3,10,26,0,9,4
30,54,0,69,1,8,29,0,9,4
31,49,0,68,1,9,26,0,9,4
33,47,0,68,5,6,29,0,9,4
33,52,0,69,3,5,30,0,9,4
31,52,0,67,2,8,28,0,9,4
33,51,0,68,4,8,25,0,9,4
34,51,0,67,4,7,26,0,9,4
32,53,0,68,1,7,28,0,9,4
32,54,0,68,2,8,27,0,9,4
33,53,0,68,2,9,24,0,9,4
31,54,0,68,2,9,26,0,9,4
32,49,0,68,2,9,25,0,9,4
32,53,0,68,6,6,30,0,9,4
32,54,0,68,1,8,27,0,9,4
33,49,0,66,1,9,24,0,9,4
31,38,0,66,1,7,29,0,9,4
35,39,0,67,9,1,34,0,9,4
34,41,0,68,8,1,35,0,9,4
34,42,0,67,1,2,33,0,9,4
34,42,0,67,3,3,32,0,9,4
33,39,0,67,1,3,33,0,9,4
33,38,0,68,1,2,34,0,9,4
35,42,0,68,2,1,34,0,9,4
34,42,0,64,1,3,32,0,9,4
34,41,0,66,2,3,32,0,9,4
35,44,0,67,2,2,32,0,9,4
41,45,0,64,6,1,26,0,9,4
34,40,0,66,2,4,30,0,9,4
32,44,0,69,3,2,35,0,9,4
32,41,0,69,7,4,33,0,9,4
32,42,0,68,4,3,34,0,9,4
31,39,0,69,2,4,33,0,9,4
31,40,0,68,3,2,36,0,9,4
32,42,0,69,1,2,35,0,9,4
32,41,0,68,1,3,34,0,9,4
33,42,0,68,2,2,34,0,9,4
32,41,0,69,1,3,34,0,9,4
30,41,0,70,2,3,36,0,9,4
31,45,0,70,1,3,35,0,9,4
30,42,0,69,2,5,33,0,9,4
33,42,0,68,3,3,33,0,9,4
33,40,0,68,2,3,33,0,9,4
31,40,0,69,2,3,35,0,9,4
32,40,0,69,2,2,35,0,9,4
32,41,0,69,2,2,35,0,9,4
32,41,0,68,1,3,34,0,9,4
31,40,0,69,1,3,35,0,9,4
30,43,0,69,1,3,36,0,9,4
29,39,0,73,2,5,34,0,9,4
31,45,0,69,1,2,36,0,9,4
30,42,0,69,3,5,33,0,9,4
32,41,0,68,2,3,34,0,9,4
30,39,0,69,3,3,36,0,9,4
30,38,0,69,2,3,36,0,9,4
31,45,0,69,1,2,36,0,9,4
30,43,0,69,3,5,33,0,9,4
33,45,0,69,3,3,33,0,9,4
32,39,0,68,5,5,31,0,9,4
31,40,0,69,4,2,36,0,9,4
32,40,0,68,5,2,35,0,9,4
31,45,0,69,1,3,35,0,9,4
33,40,0,68,3,4,32,0,9,4
33,41,0,67,1,2,34,0,9,4
30,42,0,68,1,3,36,0,9,4
32,40,0,68,2,3,34,0,9,4
31,38,0,68,1,3,35,0,9,4
32,40,0,68,1,2,35,0,9,4
33,38,0,68,1,2,34,0,9,4
34,42,0,67,1,1,35,0,9,4
32,39,0,68,1,3,34,0,9,4
33,40,0,69,0,2,34,0,9,4
30,40,0,69,2,3,36,0,9,4
32,44,0,69,1,2,35,0,9,4
30,39,0,68,3,5,33,0,9,4
30,41,0,67,0,3,36,0,9,4
34,41,0,68,2,3,32,0,9,4
30,45,0,69,0,3,36,0,9,4
33,42,0,69,3,4,32,0,9,4
32,38,0,69,2,3,34,0,9,4
32,42,0,69,1,2,35,0,9,4
33,39,0,69,1,3,33,0,9,4
30,39,0,69,2,3,36,0,9,4
34,42,0,69,1,1,35,0,9,4
30,39,0,70,2,4,34,0,9,4
30,40,0,68,2,3,36,0,9,4
31,40,0,68,2,3,35,0,9,4
33,45,0,68,2,2,34,0,9,4
31,40,0,68,3,5,32,0,9,4
