 nLos, D-Master, D-Slaver, D-Gate, Speed, x, y, Auth, Trans
0,65,31,100,8,-17,11,9,4
0,63,30,100,2,-15,11,9,4
0,64,30,100,1,-16,11,9,4
0,67,29,100,5,-18,16,9,4
0,68,32,100,6,-19,16,9,4
0,66,30,100,1,-17,16,9,4
0,67,33,100,1,-18,16,9,4
0,63,33,100,5,-15,11,9,4
0,68,34,100,3,-18,19,9,4
0,65,31,100,2,-16,16,9,4
0,50,30,100,13,-8,22,9,4
0,62,33,100,19,-15,0,9,4
0,54,37,100,7,-9,14,9,4
0,66,41,100,7,-15,22,9,4
0,53,54,100,14,-5,10,9,4
0,65,69,100,23,-6,37,9,4
0,60,71,100,29,6,43,9,4
0,58,64,100,34,8,42,9,4
0,36,61,100,30,14,14,9,4
0,37,61,100,31,12,12,9,4
0,56,57,100,9,3,34,9,4
0,47,84,100,11,5,21,9,4
0,49,87,100,33,24,43,9,4
0,56,80,100,25,23,50,9,4
0,56,79,100,28,17,47,9,4
0,61,86,100,13,13,50,9,4
0,43,39,100,12,29,39,9,4
0,41,60,100,30,0,22,9,4
0,65,67,100,18,-3,41,9,4
0,69,43,100,31,-1,49,9,4
0,79,37,100,26,-23,36,9,4
0,82,30,100,26,-28,33,9,4
0,90,27,100,39,-37,32,9,4
0,95,25,100,20,-43,30,9,4
0,98,25,100,19,-47,27,9,4
0,92,27,100,7,-41,26,9,4
0,95,30,100,0,-43,30,9,4
0,91,29,100,10,-38,32,9,4
0,72,37,100,19,-22,20,9,4
0,32,103,100,39,1,33,9,4
0,55,102,100,69,39,54,9,4
0,56,99,100,53,38,55,9,4
0,74,98,100,41,22,69,9,4
0,40,85,100,15,42,39,9,4
0,42,91,100,20,28,37,9,4
0,45,109,100,2,32,42,9,4
0,47,92,100,18,50,46,9,4
0,55,91,100,7,28,51,9,4
0,61,91,100,16,24,56,9,4
0,61,85,100,27,24,56,9,4
0,64,90,100,12,16,55,9,4
0,64,111,100,3,21,58,9,4
0,61,103,100,21,45,60,9,4
0,61,97,100,20,36,60,9,4
0,54,78,100,13,34,52,9,4
0,53,81,100,25,17,43,9,4
0,52,46,100,18,20,44,9,4
0,61,53,100,49,-8,26,9,4
0,58,38,100,22,-2,31,9,4
0,61,38,100,40,-11,18,9,4
0,65,43,100,7,-14,22,9,4
0,63,39,100,11,-11,24,9,4
0,63,45,100,4,-12,22,9,4
0,63,40,100,5,-10,26,9,4
0,65,40,100,2,-13,25,9,4
0,67,37,100,4,-15,25,9,4
0,86,36,100,23,-31,36,9,4
0,97,33,100,31,-42,38,9,4
0,101,24,100,33,-47,36,9,4
0,107,30,100,28,-57,25,9,4
0,117,34,100,27,-67,26,9,4
0,101,36,100,0,-47,36,9,4
0,110,33,100,13,-56,38,9,4
0,110,34,100,13,-56,38,9,4
0,84,46,100,36,-31,31,9,4
0,46,76,100,54,0,9,9,4
0,57,92,100,69,13,45,9,4
0,61,111,100,60,24,56,9,4
0,50,109,100,64,51,49,9,4
0,51,91,100,35,48,50,9,4
0,52,93,100,9,29,48,9,4
0,53,87,100,21,30,50,9,4
0,50,106,100,22,26,45,9,4
0,58,94,100,15,41,57,9,4
0,52,76,100,2,32,49,9,4
0,56,66,100,13,13,44,9,4
0,76,37,100,48,-7,53,9,4
0,83,39,100,63,-29,33,9,4
0,98,38,100,55,-42,41,9,4
0,96,37,100,35,-40,40,9,4
0,85,41,100,3,-30,36,9,4
