Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
33,65,0,0,8,23,32,0,9,4
31,63,0,0,0,29,30,0,9,4
32,64,0,0,5,26,31,0,9,4
28,63,0,0,8,30,27,0,9,4
32,64,0,0,3,26,31,0,9,4
31,62,0,0,2,28,30,0,9,4
32,63,0,0,6,25,31,0,9,4
32,60,0,0,0,26,31,0,9,4
31,61,0,0,5,23,30,0,9,4
31,60,0,0,1,25,30,0,9,4
30,60,0,0,2,24,29,0,9,4
30,60,0,0,1,24,29,0,9,4
30,61,0,0,1,24,29,0,9,4
30,62,0,0,1,25,29,0,9,4
30,62,0,0,2,26,29,0,9,4
30,62,0,0,2,26,29,0,9,4
30,61,0,0,1,26,29,0,9,4
27,64,0,0,2,27,27,0,9,4
29,66,0,0,3,29,28,0,9,4
29,65,0,0,5,31,28,0,9,4
29,66,0,0,3,30,28,0,9,4
30,63,0,0,2,31,29,0,9,4
29,61,0,0,3,28,28,0,9,4
