Master,Slave,NLOS,RSSI,Speed,X,Y,Z,Auth,Trans
124,112,1,84,11,-19,103,0,9,4
129,112,1,85,8,-20,108,0,9,4
129,112,1,85,8,-20,108,0,9,4
129,112,1,86,7,-20,108,0,9,4
128,106,1,85,4,-19,107,0,9,4
121,111,1,86,8,-17,100,0,9,4
123,109,1,85,6,-14,105,0,9,4
133,109,1,86,10,-29,106,0,9,4
130,110,1,85,10,-25,106,0,9,4
130,109,1,85,10,-24,106,0,9,4
130,104,1,85,4,-25,106,0,9,4
130,112,1,85,4,-25,106,0,9,4
142,112,1,85,13,-38,111,0,9,4
133,111,1,86,3,-25,109,0,9,4
129,110,1,85,4,-21,107,0,9,4
132,112,1,85,12,-26,107,0,9,4
129,113,1,84,5,-20,108,0,9,4
132,111,1,85,2,-23,109,0,9,4
132,110,1,85,1,-25,108,0,9,4
134,114,1,85,9,-29,108,0,9,4
126,109,1,85,9,-14,108,0,9,4
129,108,1,85,2,-23,106,0,9,4
134,111,1,85,2,-31,106,0,9,4
132,112,1,84,11,-25,108,0,9,4
129,111,1,85,3,-20,108,0,9,4
120,113,1,85,21,-10,103,0,9,4
143,111,1,84,13,-38,112,0,9,4
143,112,1,84,13,-38,112,0,9,4
135,114,1,85,8,-28,110,0,9,4
135,109,1,85,8,-28,110,0,9,4
135,110,1,85,8,-28,110,0,9,4
135,112,1,85,8,-28,110,0,9,4
129,109,1,84,18,-20,108,0,9,4
132,113,1,82,3,-27,107,0,9,4
130,110,1,83,5,-20,109,0,9,4
134,110,1,84,9,-29,108,0,9,4
133,112,1,85,1,-27,108,0,9,4
128,112,1,84,2,-19,107,0,9,4
128,110,1,86,10,-19,107,0,9,4
136,109,1,84,4,-31,109,0,9,4
124,105,1,85,3,-17,104,0,9,4
131,119,1,85,11,-30,103,0,9,4
131,115,1,85,11,-30,103,0,9,4
138,114,1,85,4,-29,113,0,9,4
134,112,1,84,9,-24,111,0,9,4
135,111,1,85,7,-28,110,0,9,4
133,106,1,86,5,-26,109,0,9,4
132,111,1,85,9,-30,104,0,9,4
129,114,1,86,7,-21,107,0,9,4
131,111,1,85,6,-20,110,0,9,4
130,111,1,85,8,-22,108,0,9,4
130,111,1,85,1,-22,108,0,9,4
132,114,1,85,5,-25,108,0,9,4
133,112,1,85,3,-23,111,0,9,4
130,109,1,85,1,-21,108,0,9,4
129,113,1,85,2,-23,106,0,9,4
133,110,1,85,1,-24,110,0,9,4
135,114,1,84,9,-30,108,0,9,4
130,114,1,84,5,-19,110,0,9,4
132,113,1,84,2,-22,110,0,9,4
133,112,1,84,6,-24,110,0,9,4
132,111,1,85,5,-24,109,0,9,4
121,106,1,85,12,-11,104,0,9,4
137,110,1,84,13,-37,105,0,9,4
125,112,1,86,8,-17,105,0,9,4
122,111,1,86,1,-11,105,0,9,4
132,106,1,85,12,-25,108,0,9,4
129,111,1,85,10,-27,103,0,9,4
134,112,1,85,17,-28,108,0,9,4
135,115,1,85,3,-28,110,0,9,4
135,112,1,84,9,-25,112,0,9,4
135,111,1,85,2,-28,110,0,9,4
132,112,1,85,3,-25,108,0,9,4
